Link,Title,Authors,MainIdea,Problems,Solutions,THRIVE,Implement
https://drive.google.com/file/d/12P2jHa0G7w-_gQiF94aDuyM9Qiww1fFJ/view?usp=sharing,Renewables on the Rise 2020,Environment Florida Center,"Significant growth has been seen in technologies supporting clean, renewable energy across the US.",Pollution and resource depletion from the use of non-renewable energy sources.,"Incentivize and invest in electric vehicles/building electrification/energy storage/solar and wind energy and promote energy efficiency standards,",Livability,Promote energy efficiency standards and renewable energy resources through education/outreach efforts. 
,Sustainable Development Report 2024 ,"​​Jeffrey D. Sachs, Guillaume Lafortune and Grayson Fuller ","The report offers a comprehensive, data-driven evaluation of UN member states' progress on the 17 Sustainable Development Goals, and reveals that most countries are not on course to meet the 2030 targets. It emphasizes the need for urgent reforms in global finance, multilateral cooperation, and sustainable land‑use systems ahead of the upcoming UN Summit of the Future. ","While not designed for regional data, the findings of the report can be relevant to central Florida. There has been limited progress on SDGs tied to equity, sustainable communities, and partnerships, which is similar to problems faced in CF. ","The report recommends strengthening partnerships and improving governance frameworks through data transparency and inclusive planning, which CF can adopt by aligning public, private, and civic initiatives.",Livability,"THRIVE can leverage the SDGi framework to set measurable local targets aligned with global goals, deploy subnational data to benchmark progress, and convene cross-sector coalitions addressing equity, climate resilience, and partnerships. They can also pilot land-use initiatives informed by the FABLE food systems pathways discussed in the report. "
,2018 - 2022 STRATEGIC PLAN,FL Department of Corrections,"FL Dept of Corrections' strategic plan or improving recruitment and retention of staff, expanding inmate/offender programming, improving communications, modernizing facilities, enhancing security, and increasing re-entry success","In FL DoC, as elsewhere, staffing shortages, high turnover rates, and inadequate employee compensation; outdated facilities and infrastructure needing repairs and modernization; limited inmate access to education, vocational, and re-entry programs; gaps in healthcare services, especially for mental health and special populations; overuse of restrictive housing; poor internal and external communications affecting transparency and accountability","Strategic focus on workforce development including leadership training, wellness initiatives, and reduced shift hours; expansion of rehabilitative programs with a focus on evidence-based tools, individualized case management, educational access, and substance use treatment; increased focus on re-entry supports including coordination with community partners and specialty courts; infrastructure upgrades for safety, sustainability, and accessibility (ADA compliance);; invest in technology to improve security, efficiency, and healthcare delivery (e.g., telehealth, electronic records); enhanced internal/external communication strategies for transparency and stakeholder engagement; maintaining national standards (PREA, ACA, CMA)",Livability,"Advocate for expanded education, healthcare, and housing programs as re-entry pathways (recruit teachers, etc.?); push for transparency in local facility conditions (especially regarding healthcare, restrictive housing, and infrastructure conditions) through partnerships with state monitoring bodies; collab with local corrections facilities in THRIVE communities to pilot improved employee wellness and retention strategies"
,Sustainable Development Report 2024 ,"​​Jeffrey D. Sachs, Guillaume Lafortune and Grayson Fuller ","The report offers a comprehensive, data-driven evaluation of UN member states' progress on the 17 Sustainable Development Goals, and reveals that most countries are not on course to meet the 2030 targets. It emphasizes the need for urgent reforms in global finance, multilateral cooperation, and sustainable land‑use systems ahead of the upcoming UN Summit of the Future. ","While not designed for regional data, the findings of the report can be relevant to central Florida. There has been limited progress on SDGs tied to equity, sustainable communities, and partnerships, which is similar to problems faced in CF. ","The report recommends strengthening partnerships and improving governance frameworks through data transparency and inclusive planning, which CF can adopt by aligning public, private, and civic initiatives.",Livability,"THRIVE can leverage the SDGi framework to set measurable local targets aligned with global goals, deploy subnational data to benchmark progress, and convene cross-sector coalitions addressing equity, climate resilience, and partnerships. They can also pilot land-use initiatives informed by the FABLE food systems pathways discussed in the report. "
,NeuroArts Blueprint ,"Aspen Institute, Johns Hopkins, The Center for Applied Neuroaesthetics ","The NeuroArts Blueprint presents a strategic roadmap for establishing ""neuroarts"", which is the rigorous study of how arts-based experiences affect brain, body, and behavior, to create an evidence-based ecosystem that integrates arts, health, and science over the next five years and beyond.","While focused nationally/globally, this blueprint outlines barriers that can be relevant to Central Florida: lack of standardized protocols for arts-in-health interventions, insufficient local funding or infrastructure for arts-based programs, and gaps in interdisciplinary collaboration between artists, healthcare providers, and researchers in the region.","The report’s solutions offer a model for Central Florida to build its own neuroarts ecosystem, encouraging training, grantmaking, and partnerships between Johns Hopkins-affiliated researchers and local cultural institutions. These solutions include standardized methodologies, capacity-building for practitioners, robust data systems, and policy support. ",Livability,"THRIVE can launch a regional NeuroArts pilot by convening local artists, clinicians, universities, and funders; adopting the blueprint’s standardized evaluation tools; applying for grants like the Renée Fleming Investigator Awards; and embedding arts-based interventions into community health programs with built-in measurement. 
"
,Carbon inequality kills: Why curbing the excessive emissions of an elite few can create a sustainable planet for all. ,"Mira Alestig, Nafkote Dabi, Abha Jeurkar and Alex Maitland. ","The report reveals that the super-rich, particularly the wealthiest 1%, are emitting disproportionately large amounts of carbon (via jets, yachts, and investments), driving climate breakdown, exacerbating inequity, and causing excess deaths, and argues for urgent policies like progressive wealth and carbon taxes to constrain extreme emissions","This report is not region-specific, but its findings resonate in Central Florida: excessive luxury travel, investment-linked emissions, and unchecked consumption by elites contribute to regional air, water, and heat inequities that disproportionately impact low-income and BIPOC communities. ","Oxfam advocates for targeted policies: carbon wealth taxes, luxury transport levies, and redirecting high-emitting investments into low-carbon assets. These are measures CF could champion at the state level to curb elite emissions and fund equitable climate resilience. ",Livability,"THRIVE can evaluate local data to quantify elite carbon footprints, build coalitions to advocate for local/state-level carbon taxes or jet/boat levies, create public awareness on carbon inequality’s local harms, and mobilize philanthropic funds to support equitable climate interventions in Central Florida."
https://drive.google.com/file/d/1IzV0i2NeCTzj34Pnrhdpq45kslbvibFd/view?usp=sharing,"Key Drivers to Improve Food Security and Health Outcomes
AN EVIDENCE REVIEW OF
FOOD BANK - HEALTH CARE PARTNERSHIPS
AND RELATED INTERVENTIONS",Institute for Hunger Research & Solutions at Foodshare,"This evidence review uses the Feeding America's Levels of Evidence Framework to identify the core interventions that food banks and health care systems are
engaged with as partners.",,,Healthcare; Livability,
https://drive.google.com/file/d/1xJfBruwrl09yLqcDO4R-4-06KniYMP6O/view?usp=sharing,"The Overdose Crisis In Central Florida: A Critical Analysis of Recent Trends
and Recommendations for
Sustaining Effective Interventions",Project Opioid,"This report covers the data of CF's opioid crisis; how medications like naloxone and buprenorphine have played critical roles in addressing it; and persistent gaps in data, access, and system navigation that persist",Nonfatal overdose data is inconsistent and underreported; buprenorphine prescriptions have NOT increased despite policy changes; MAT access barriers remain; youth and “opioid naive” populations lack education; fragmented mental health services,Expansion of harm reduction strategies and naloxone availability; improved data collection for nonfatal overdoses; increased MAT access and reduced barriers to buprenorphine; youth-targeted opioid education campaigns; tech-enabled navigation tools for care coordination,Healthcare; Community & Social Connection,"Regionwide implementation of tech-based care navigation platforms; more youth-focused prevention events in partnership with schools (SM campaigns?); efforts to expand MAT access, including prescriber training and stigma reduction; collab w employers to pilot HR-focused harm reduction and response training; convene stakeholders to form the proposed Regional Opioid Commission to promote cross sector coordination and policy alignment"
https://drive.google.com/file/d/1SWKOn3Q_oov_XieYjXTDoVUCxutr9QrR/view?usp=sharing,2022 Social Threats to Aging Well in America,Alignment Healthcare,"This report explores the social barriers to senior health are--Top 3 social barriers to senior health are: economic instability, loneliness, and food insecurity","Economic instability & medical debt among seniors, rising food costs and limited access to healthy food, loneliness and isolation; transportation, tech, and access issues limiting healthcare engagement; mental health strains due to COVID, politics, and lack of support ",Grocery allowance and food delivery services; technology education and access; nonmedical companion care and friendship programs but also transportation support for medical visits; 24/7 telehealth access,Healthcare; Community & Social Connection,Partner with local govt/grocers/food banks to offer monthly grocery stipends or pre-filled healthy food boxes to seniors; “senior buddy network” to match seniors with vetted community volunteers for weekly calls or visits or isolation reduction; more telehealth access; discounts from transit agencies and ride-share companies to offer seniors discounted or free rides to appointments
,"NeuroArts Blueprint: Advancing the Science of Arts, Health and Wellbeing ","Aspen Institute, Johns Hopkins, The Center for Applied Neuroaesthetics ","The NeuroArts Blueprint presents a strategic roadmap for establishing ""neuroarts"", which is the rigorous study of how arts-based experiences affect brain, body, and behavior, to create an evidence-based ecosystem that integrates arts, health, and science over the next five years and beyond. ","While focused nationally/globally, this blueprint outlines barriers that can be relevant to Central Florida: lack of standardized protocols for arts-in-health interventions, insufficient local funding or infrastructure for arts-based programs, and gaps in interdisciplinary collaboration between artists, healthcare providers, and researchers in the region.","The report’s solutions offer a model for Central Florida to build its own neuroarts ecosystem, encouraging training, grantmaking, and partnerships between Johns Hopkins-affiliated researchers and local cultural institutions. These solutions include standardized methodologies, capacity-building for practitioners, robust data systems, and policy support. ",Healthcare ,"THRIVE can launch a regional NeuroArts pilot by convening local artists, clinicians, universities, and funders; adopting the blueprint’s standardized evaluation tools; applying for grants like the Renée Fleming Investigator Awards; and embedding arts-based interventions into community health programs with built-in measurement. "
,Healthcare 3.0: Healthcare for the New Normal,Deloitte ,"Deloitte's ""Healthcare 3.0"" outlines a future-oriented model focused on building resilient, patient-centered systems for the ""new normal"" by harnessing digital transformation, virtual care, workforce innovation, and sustainable operations to improve access, efficiency, and health equity. ","Central Florida healthcare mirrors global challenges: unequal access to virtual care and digital tools, persistent workforce shortages, clinician burnout, outdated legacy systems etc. ","• Use insights from behavioral studies (psychology
and economics) to increase individual engagement in
health matters
• Integrate behavior change as a core component
within new healthcare delivery models
• Leverage the power of influencers and social
networks to support and drive health behaviour
change",Healthcare ,"THRIVE can collaborate with CF health systems to pilot virtual care access in underserved communities, support training programs for digital health roles, advocate for funding of interoperable IT platforms, integrate climate-ready infrastructure in local health facilities, and host forums on AI ethics and workforce well-being."
https://drive.google.com/file/d/1ZZR9cxa9JxWhi_Cb2202uXJ528o0nD5U/view?usp=sharing,2017 Osceola County Health Profile,Health Council of East Central Florida,"Snapshot of Osceola County’s health, demographic, and socioeconomic indicators highlighting disparities and service shortages","High poverty rates; HPSA in primary, dental, and mental health; low prenatal care access; lower immunization rates; higher infant mortality and birth rates; lower college attainment; economic dependency on small businesses with fewer than 20 employees",Expand access to community-based health clinics and mobile care units; increase mental health workforce pipeline; fund prenatal outreach programs and maternal education,Healthcare,Partner with local FQHCs and mobile health providers to expand services in underserved neighborhoods; fund scholarships or loan forgiveness to attract mental health professionals to shortage areas; pilot prenatal navigator programs in high-risk zip codes??
https://drive.google.com/file/d/1ZxC7wNDsqpe0zbyTPWtqPFSakR_Qz-Vl/view?usp=sharing,Community Health Improvement Plan 2021–2025,Florida Department of Health in Orange County,Strategic plan to address health disparities and improve population health outcomes in Orange County--using MAPP framework,High rates of being uninsured; child poverty (22%); lack of access to affordable food; insufficient living-wage jobs and job training; limited transportation; behavioral health service gaps; high infant mortality and chronic disease in Black community; racial health inequities in maternal health,Improved access to care through preventive screenings and chronic disease management; increased mammography and reduced respiratory hospitalizations,Healthcare,Support DOH Orange County in implementation of CHIP objectives?
https://drive.google.com/file/d/1ZuXw9cVM05Wj0m8jTQNvj6-qxAj3dPKQ/view?usp=sharing,3-4-50: Chronic Disease in San Diego County,County of San Diego Health and Human Services Agency,"In SD 3 preventable behaviors (poor diet, physical inactivity, tobacco use)cause four chronic diseases (cancer, heart disease/stroke, type 2 diabetes, and pulmonary disease) that account for over 50% of deaths --> San Diego County launched a ten year Health Strategy Agenda to address these through policy, systems, environmental, cultural change ",High prevalence of preventable chronic disease due to modifiable risk behaviors; limited access to healthy food options; car-centric built environments discouraging physical activity; lack of community-wide policy support for smoke-free and wellness-promoting spaces; disparities in health outcomes by race,Improved health system integration for preventive care; support smoke-free and substance-free environments; expanded chronic disease screening and early intervention services,Healthcare,Regional Healthy Food Access Fund to subsidize fresh food in underserved areas; develop a chronic disease prevention media campaign tailored to CF’s demographics
https://drive.google.com/file/d/1zS6fEGboOgKMzo315z9co19NHFtqFGx8/view?usp=sharing,"The Accountable Health Communities
Health-Related Social Needs Screening Tool",Center for Medicare and Medicaid Services,"This is CMS’s complete standardized, evidence-based screening tool to assess and address health-related social needs (HRSNs) of Medicare and Medicaid beneficiaries in clinical settings--with 10 core and 8 supplemental domains related to housing, food, transportation, safety, mental health, and more","Lack of consistent, systematic screening for social needs in healthcare settings, as with dometic abuse screenings; unmet HRSNs (e.g., food insecurity, housing instability, transportation gaps) contribute to poor health outcomes and higher healthcare costs → many low-income and high-need populations in Central Florida may not have their social needs identified or addressed through traditional care pathways & clinics may lack workflows or validated tools to assess social determinants of health (SDOH); no integrated referral or follow-up mechanism for non-clinical health-related needs (e.g., stress, education, safety, financial strain).","Get HCOs implementing the AHC HRSN tool across clinics serving Medicaid and uninsured populations & training staff on how to integrate screening into work; → develop personalized care plans and referrals to local community-based organizations and incorporate supplemental domains to align with THRIVE equity goals (e.g., employment, mental health, substance use); partner with hospitals, FQHCs, and social service agencies for follow-up systems for population health data mgmt? ",Healthcare,"Encourage and promote use of the AHC tool at partner clinics and hospitals wimplementation funding or incentives or TA for screening integration; collaborate to establish a  regional referral and follow-up system for unmet social needs; design and host trainings for clinical and CBO staff on interpreting and acting on screening results; campaign + advocate for adoption of HRSN screening as standard practice in Medicaid and safetynet settings
"
https://drive.google.com/file/d/1ZQTcVao7pt8q6Oa9dJ922NlZLm1_jmLZ/view?usp=sharing,Facts about Mental Health in Florida,"Mental Health America, KPMG","Overview of Florida's mental health care access, challenges, and statistics",Low access to mental health care (Ranked 44th in the US); high percentage of untreated adults with mental illness ; insufficient number of mental health providers relative to population; high suicide rates in certain counties; lack of mental health funding  (ranked LAST in US for MH support?),"Expand mental health treatment outreach programs; increase mental health provider availability, esp in underserved areas & implement county-specific suicide prevention programs",Healthcare,-
https://drive.google.com/file/d/1ZQTcVao7pt8q6Oa9dJ922NlZLm1_jmLZ/view?usp=sharing,Facts About Mental Health in Florida,Florida Behavioral Health Association,"Highlights Florida’s limited access to mental health care, low state funding, and high suicide rates compared to national averages.",61.7% of adults with mental illness go untreated; Florida ranks 44th for access to care and last for per capita mental health spending; provider shortages statewide.,"Expand funding for mental health services, improve insurance access, increase provider availability, and enhance statewide suicide prevention efforts.",Healthcare,"Advocate for increased state investment in behavioral health infrastructure; partner with local providers to expand affordable treatment and outreach, especially in underserved counties."
https://drive.google.com/file/d/1ZNoq4YHcDZaXOAZx6MoLRIya8jfQUr1X/view?usp=sharing,Frequently Asked Questions on Medicaid and CHIP Coverage of Peer Support Services,Center for Medicaid and CHIP Services (CMCS),This FAQ outlines federal policy on Medicaid and CHIP coverage of peer support services,"Peer support services are underutilized despite proven benefits improving treatment outcomes and reducing crisis system burden; misinterpretation of federal guidelines → limited flexibility in supervision models, restricting program implementation; inadequate training and certification consistency across states → hinder workforce development and peer legitimacy; low Medicaid reimbursement rates → poor retention of peer workers and financial instability","FL, like other states, =encouraged to expand peer support into emergency and inpatient settings; states have flexibility to define training, supervision, and provider qualifications & Medicaid and CHIP programs can include peer support services if state plans are amended accordingly",Healthcare,-
https://drive.google.com/file/d/1zhJ4ixIuiH6RUy1kZ57wrcincakxajKI/view?usp=sharing,Pivot to Prevention: A CYC Toolbox for School-Based Mental Health,CYC (Children and Youth Cabinet),"High-poverty communities of color limited access to quality clinical supports; behavioral health services in schools often underfunded; stigma, lack of coordination limit service use; lack of capacity, infrastructure to integrate clinical supports; gaps in Medicaid utilization for schoolbased service","Embed Medicaid-reimbursed clinicians from community partners into schools; tiered frameworks like MTSS or PBIS for identification and support of student needs; use CYC designed and developed tools to assess readiness, build referral systems, clarify roles, and match with clinical partners?",Co-host informational sessions with CYC for school leaders and community stakeholders; advocate for school district participation in monthly coaching calls and referral team development???,Healthcare,
https://drive.google.com/file/d/1ZBP0PmQS75c94sykT-5WyxBFDh65NKjJ/view?usp=sharing,Community Health Improvement Plan 2016–2019,Florida Department of Health in Orange County,"Strategic roadmap to improve Orange County’s health outcomes in five priority areas (access to care, chronic disease, behavioral health, maternal and child health, andpartnerships)","High rates of uninsured and underinsured residents; barriers to accessing primary and preventive care; high incidence of obesity, diabetes, and heart disease; limited behavioral health providers and fragmented mental health system; teen birth rates above state average",Expand access points for primary care through partnerships with FQHCs and mobile clinics; increase enrollment in insurance and public benefit programs?,Healthcare,"Develop regional enrollment corps to help residents sign up for Medicaid, SNAP, and ACA coverage; sponsor chronic disease self-management workshops at libraries and community centers in partnership with FQHC"
https://drive.google.com/file/d/1Z7alQwkobgx8LMbLQ7Aphiie71ahOW0e/view?usp=sharing,Unleash data to give patients control of their healthcare information and allow that data to follow them throughout their healthcare journey.,Centers for Medicare & Medicaid Services (CMS),"A federal initiative to give patients secure, digital control of their health information and promote interoperability across healthcare systems.","Fragmented health data locked in closed systems limits coordination, efficiency, and patient empowerment.","Expand interoperability through the Patient Access Rule, APIs like Blue Button 2.0, and data-sharing pilots that connect patients, providers, and innovators.",Healthcare,Partner with health systems to promote patient access portals and health data literacy; support community outreach that educates residents on managing their digital health information securely.
https://drive.google.com/file/d/1z0RRMF5j2ZpsazjHxL_YFzGTjCEAJeR6/view?usp=sharing,Closing the Women’s Health Gap: A $1 Trillion Opportunity to Improve Lives and Economies,World Economic Forum,Report quantifying and solutionizing economic and societal benefits of closing the women's health gap,"Undiagnosed or misdiagnosed chronic conditions in women (e.g., autoimmune diseases, chronic pain); underinvestment in women-specific health research and care pathways; fragmented care models that do not address life-course health for women; been lower investment in women’s health conditions relative to their prevalence.","More funding of research of pilot programsargeting high-burden conditions in women (e.g., endometriosis, fibroids, autoimmune diseases); expand Medicaid and preventive care coverage to include non-reproductive chronic conditions affecting women ",Healthcare,"Partner with local employers and health insurers to fund a “Women’s Wellness Benefit” that covers fibroids, pelvic pain, autoimmune screenings, menopause care"
https://drive.google.com/file/d/1yxdZnpH_YjguFErex7k474b_-NWf5Abs/view?usp=sharing,Improving the effectiveness of public health efforts,Matt Kasman and Ross A. Hammond,"Brookings developed a computational simulation to find how program continuation decisions (especially removing bias toward older, entrenched programs/inertia based decisionmaking) can significantly improve the effectiveness of public health departments, especially under limited resources","Public health often continues ineffective programs due to organizational inertia, especially favoring long standing initiatives (sunk cost fallacy); programs are sometimes ended due to lack of short-term funding; internal culture, structure, and leadership practices → implementing evidence-based changes difficult and slow; mis-implementation wastes resources",Train leaders to avoid using program longevity as a proxy for effectiveness; use evidence-based decisionmaking tools consistently when choosing which programs to sustain; improve organizational agility and impact; more ongoing evaluation and avoid sunk cost reasoning in public health program mgmt,Healthcare,-
https://drive.google.com/file/d/1yskxchESQS91SqIw_0kpKYS2DF0g6KDA/view?usp=sharing,LLS Children's Initative Overview 20222,The Leukemia & Lymphoma Society (LLS),LLS is expanding its focus on children's health to help children thrive post-treatment as welll as in treatment,"Pediatric blood cancer research is underfunded due to smaller patient populations; current therapies often→ severe long-term side effects for children; barriers to access for clinical trials and care include financial burden, lack of information, and geographical challenges; need for tailored support in navigating care, treatment, and long term survivorship.","Oncology social workers, nurses, travel/insurance assistance, and clinical trial navigation.",Healthcare,"Partner with LLS or similar organizations to refer pediatric patients to these trials and support systems; pilot  local pediatric patient navigator program, modeled from LLS’s model of nurses and social workers"
https://drive.google.com/file/d/1yRGELiolk6yDExljimdKU3GRCxWXUAI_/view?usp=sharing,"Findings from the Implementation and Outcomes Evaluations of the Kaiser Permanente Health, Housing, and Justice Initiative",Kaiser Permanente,Medical-legal partnershops (MLPs) integrated w/i Kaiser healtchare settings imporved housing stability and health outcomes by providing legal aid services to patienst at risk of eviction or experiencing housing instability,Housing instability among vulnerable pops; barriers to accessing legal aid for eviction prevention; healthcare workers lacking tools to address patients' housing-related legal needs,"MORE integrated medical-legal partnerships in healthcare settings; referral networks; local legal aid agencies; use ongoing staff consultation models (curbside consults, office hours); ",Healthcare,"Partner w/ CF legal aid orgs to embed lawyers/legal navigators within hospitals/clinics; pilot ""surbside consult"" models for legal aid at hospitals; advocate for state Medicaid waivers to reimburse legal interventions as part of integrated health services"
https://drive.google.com/file/d/1ym32qydBRjxpXEWwqGqXAmE0yiiFwOlO/view?usp=sharing,Local Travel Assistance,The Leukemia & Lymphoma Society  (LLS),LLS provides $500 in financial travel assistance for blood cancer patients in treatment who need help covering travel-related costs,"High travel-related costs prevent patients, especially from rural areas, from accessing specialized treatment, clinical trials, or transplants→ delay or prevent continuity of care during active treatment.","Patients can receive $500 grants every 6 months during active treatment for approved travel expenses (transportation, lodging, car repairs, ambulance services, etc.).",Healthcare,Partner with LLS or replicate a Central Florida Travel Assistance Fund for families facing barriers to specialized treatment & collaborate with local transit agencies or rideshare platforms to offer subsidized cancer-care rides.
https://drive.google.com/file/d/1yhkAYtYCMC1yixm3igoFk9_pKhGd-FDT/view?usp=sharing,Public Health 3.0: A Call to Action to Create a 21st Century Public Health Infrastructure,"US Department of Health and Human Services, Office of the Assistant Secretary for Health (OASH)","The focus for public health in the 21st century should be health equity, social determinants of health, and multi-sector partnerships, with local health departments guiding",Underfunded local public health agencies; fragmented public health infrastructure and workforce shortages; lack of cross-sector partnerships & sustainable and flexible funding models; nadequate timely localized data ; limited accreditation and foundational infrastructure; insufficient focus on social determinants and equity,"Develop strong leadership and workforce training for PH3.0 roles; establish strategic, sustainable cross sector partnerships w clear governance; increase flexible/blended funding from federal/state/local sources; improved data systems with granular, real-time metrics and integration with clinical data; support PHAB accreditation and shared services; prioritize equity and SDOH in public health policies and programs",Healthcare,"Support development and access to granular public health data & GIS tools, encourage accreditation and infrastructure support, embed equity metrics and social determinant measures into programs and policies(?) - EXTEND THIS ONE LEILA"
https://drive.google.com/file/d/1yC0IirrPmjz7pIrOP7G8r6UnSoSe1kKu/view?usp=sharing,Community CHIEF Health Strategist Competencies,National Association of County & City Health Officials,Outlines core competencies and practices of Community Health Chief Strategisst (CHS) in cross-sector leadership and improving population health,Fragmented healthcare and public health systems; limited use of real-time data for policy and intervention; outdated public health organizational systems; inequities in social determinants of health,Update communication using social media and tech tools; empower neighborhood and non-health allies in decision-making,Healthcare,Embed Community Chief Health Strategists within each county or health district in Central Florida with direct authority to convene cross-sector working groups; develop a real-time community health equity dashboard using open-source tools and mobile access to support neighborhood-level decisionmaking
https://drive.google.com/file/d/1Y1nmjTaEmPhlTB2DiYSxxyxnYDJZreG4/view?usp=sharing,Florida kicks more kids off Medicaid than expected,Yacob Reyes,"FL removed substantially more children from Medicaidj than projected after pandemic-era continuous coverage protections ended (FL alone accounted for 14% of national decline), w/ little use of federal flexibilities and high coverage loss","Hundreds of thousands CF children may have lost Medicaid or CHIP due to lack of renewal asisstance, complicated paperwork, system errors, NOT necessarily ineligibility; families often unaware their coverage lapsed until they seek care; sharp drop in well-child visits, immunizations, behavioral health access, and school-based medical referrals; disproportionate harm to low-income families, children with chronic conditions, and non-English-speaking households; Florida opted out of all federal flexibilities meant to ease transitions and protect coverage continuity for kids","Build up community-level enrollment and retnetion supports and simplify/automate Medicaid renewal processes for family; partner with schools, WIC clinics, and pediatricians to identify and assist eligible-but-unenrolled children; advocate for policy changes that reinstate 12-month continuous eligibility for kids; use trusted messengers (e.g., promotores, school liaisons, pastors) to educate families on coverage rights and timelines; invest in Medicaid navigators/culturally competent assisters in key zip codes ",Healthcare,"Launch CF ""Don't Lose Your Coverage"" campaign in English, Spanish, Creole; mobile enrollment units at food banks, WIC offices, and community events staffed by trained navigators who help families reapply in real-time; create re-enrollment toolkit "
https://drive.google.com/file/d/1xLrqAl009iW6gIeiySre8k1KoTvQ4DZ3/view?usp=sharing,Greater Jacksonville Florida Travel Fund,The Leukemia & Lymphoma Society (LLS),"LLS's Jacksonville-area  $500 travel grant program supporting blood cancer patients in Jacksonville, FL, to help with the costs of accessing care supported 38 patients for $19,000",High cost of travel prevents patients—especially from low ncome or rural backgrounds—from accessing quality cancer care,Expand to CF - and engage donors to fund region-specific travel grants tied to pediatric or adult cancer types,Healthcare,Expand Travel Program inside CF
https://drive.google.com/file/d/1xEP2PL8m6sh2tfqx7vbVxFsNeFQwsRcu/view?usp=sharing,"Getting to Zero Hunger by 2030: Race, Poverty, and Hunger",Marlysa D. Gamblin and Margot Nitschke,"This briefing paper argues that ending hunger in the United States is achievable by 2030 but requires directly addressing racial inequality as the key driver of hunger and poverty. The authors link systemic racism in the workforce, housing, education, and family supports to intergenerational hunger, showing that racial inequities continue to shape economic outcomes across communities of color. ","Historic exclusion of Black and Latinx workers from fair-wage jobs; tipped workers still legally paid as little as $2.13/hour.
Students of color are 7× more likely to attend underfunded schools due to property tax–based funding systems.
Families of color have less access to benefits, child care, and retirement savings, leading to cyclical disadvantage.
","Reinvest in formerly redlined neighborhoods, promote homeownership for families of color, and increase access to community amenities.
Create equitable funding models for schools, expand child nutrition programs, and provide healthier meals in low-income districts.Expand paid leave, retirement savings, and healthcare access for low-wage workers.",Healthcare,"Advocate for racial equity in wages and benefits across local and regional employers.
Partner with housing and education coalitions to support community reinvestment and fair funding."
https://drive.google.com/file/d/1x29BWzjJL2gQX-juOnFic5Up3IRkbX8A/view?usp=sharing,Obesity Report for Collier County – 2023 Annual Report,Core Health Partners Foundation,Report on obesity in Collier County and evaluation of  insurance coverage gaps for Medical Nutrition Therapy (MNT) and Diabetes Self-Management Education (DSME) -- finding nearly all major insurers deny preventive obesity services,"Only 1 out of 106 insurance referrals paid for obesity services; 47% of children in the program have a family history of diabetes; families lack access to covered nutrition therapy; care pathways fragmented across agencies; limited data integration/coordination among nonprofits, schools, and providers; most insurers only cover MNT for diabetes or renal disease, not obesity prevention; provider time is spent on scheduling/admin rather than care; existing community resources under-leveraged ",Standardize medical referral forms to unlock covered services; build central intake and scheduling protocol to maximize patient throughput; engage physicians directly to write DSME/MNT referrals,Healthcare,"Build/circulate a CF-wide ""Pathway to Medical Referral Toolkit"" that physicians can use to prescribe DSME/MNT for patients with obesity and family diabetes history"
https://drive.google.com/file/d/1WtKSK7HvbNJxGfEjBm_2quPLylHrnMku/view?usp=sharing,Collective Approach to Social Determinants of Health – An Opportunity for Public-Private Partnerships,"Tracey Grayzer (Impact Alamance), Stacie Saunders (Alamance County Health Department)","This PPT covers HCOs’ organizational shifts from isolated or merely coordinated efforts to true Collective Impact in addressing the Social Determinants of Health (SDOH). It uses Alamance County as a case study for how to improve CHOs with cross-sector collaboration, public-private partnerships, and an educational framework","In CF as elsewhere health inequities persist due to upstream social and structural conditions (poverty; inequities in education, housing); heretofore siloed efforts from organizations create inefficiencies; public health’s limited funding and cannot act alone; traditional programmatic interventions don’t address root causes; community stakeholders often lack alignment and shared metrics",Explicitly identify and implement a “Collective Impact” model with shared outcomes and aligned strategies + backbone organization to manage and drive collaboration; employ the “Strive Together cradle-to-career framework: for systemic education changes,Healthcare,"Establish a THRIVE-aligned backbone organization (or support an existing one) to coordinate multisector efforts as was done in Alamance County; promote use of shared measurement systems (e.g., specific cradle-to-career indicators); incorporate SDOH metrics into all Community Health Assessments"
https://drive.google.com/file/d/1WiLr1gmIMqnjLuNTd1vFF-6gN-uxBTYx/view?usp=sharing,Protecting Maternal Physical and Mental Health,Abigail Fagan,"This Psychology Today article highlights  physical and mental health challenges mothers face during and after pregnancy, emphasizing the disproportionate risk among women of color &  the importance of financial, healthcare, paid leave, and social support for maternal well-being","Rising US maternal mortality and severe maternal morbidity, esp among WOC; physical health risks associated with pregnancy (chronic pain, cardiovascular disease, etc); high prevalence of postpartum depression, anxiety, and “blues”; financial burdens of raising children, inadequate healthcare coverage and high costs of childbirt & lack of paid maternity/paternity leave; social isolation and insufficient social support postpartum.",,Healthcare,"Partner with local clinics/HCOs to launch maternal health navigation programs (help w access postpartum care, mental health screenings, and health insurance enrollment); funding or mini-grants to health providers to implement universal screening for postpartum depression and anxiety, w referral pipelines to community-based mental health providers; pilot a Maternal Health Basic Needs Fund(emergency cash assistance for postpartum moms for housing, food, and transportation in the first 6 months after childbirth)
"
